Time    Ener
47433   4.90
47515   3.31
47559   2.82
47622   4.99
47625   2.22
47669   4.42
47741   2.85
47813   2.54
47861   2.87
47914   3.88
47933   3.37
47958   5.89
48024   3.31
48040   4.85
48065   2.17
48087   3.62
48112   1.73
48187   3.28
48231   2.82
48260   3.19
48266   1.69
48319   4.67
48357   5.17
48369   3.41
48382   6.17
48404   7.25
48439   3.80
48442   3.82
48476   3.90
48479   8.64
48570   4.07
48734   2.21
48853   4.82
48863   5.06
48916   2.02
48954   2.18
48969   4.54
48991   5.46
48998   2.30
49136   3.05
49233   4.12
49431   6.07
49488   1.60
49513   5.40
49579   6.17
49585   6.90
49623   3.08
49657   6.49
49704   3.04
49811   3.32
49887   1.92
49899   6.84
50012   3.37
50015   2.27
50022   0.83
50028   5.53
50034   7.37
50047   2.89
50160   2.01
50166   3.62
50210   7.03
50213   4.19
50241   2.70
50298   3.05
50314   4.27
50323   3.38
50373   5.86
50402   3.70
50436   3.19
50452   4.70
50483   3.52
50499   3.12
50534   4.39
50581   3.16
50606   6.11
50609   4.47
50675   6.43
50713   5.01
50738   5.39
50753   4.12
50892   2.83
50917   4.91
50992   2.62
51027   3.07
51149   3.07
51193   5.20
51294   2.90
51306   2.96
51331   5.27
51357   2.81
51488   6.30
51501   6.80
51542   4.10
51545   0.68
51548   4.81
51570   3.38
51624   5.49
51642   3.96
51759   5.86
51803   1.81
51916   5.39
51938   6.31
51960   3.16
52048   3.61
52073   3.69
52085   3.02
52085   3.64
52198   3.65
52239   3.30
52271   2.67
52293   3.14
52349   1.25
52468   2.71
52475   3.17
52544   5.03
52635   4.58
52638   3.89
52654   3.06
52710   3.95
52789   2.62
52845   3.67
52889   3.17
52952   2.27
52968   3.93
53009   2.60
53021   3.40
53075   1.73
53185   3.41
53260   4.23
53332   4.97
53360   3.14
53401   2.31
53414   3.23
53445   5.15
53458   4.67
53499   4.64
53568   4.26
53627   3.87
53637   1.88
53690   4.56
53781   5.48
53807   2.64
53916   3.74
53929   4.46
54008   4.01
54036   3.75
54067   2.67
54092   5.02
54168   2.34
54209   4.49
54227   3.51
54290   7.19
54315   5.01
54347   4.62
54366   3.38
54479   3.19
54576   2.82
54695   1.44
54702   2.35
54711   3.74
54758   3.63
54790   2.18
54812   2.76
54896   1.53
54906   3.11
54934   4.14
54991   6.81
54997   2.76
55019   3.14
55101   5.00
55151   3.44
55204   2.84
55255   4.76
55314   5.48
55741   2.92
55770   5.82
55773   2.80
55776   2.48
55826   2.30
56002   1.72
56077   2.39
56225   2.94
56231   3.95
56238   4.31
56241   4.55
56398   2.52
56423   2.85
56523   4.78
56599   2.46
56605   2.74
56615   5.04
56633   8.23
56637   2.61
56662   3.30
56677   2.38
56706   2.40
56709   2.72
56853   2.38
56882   2.51
56916   4.11
56957   4.62
57039   2.58
57076   6.47
57095   6.30
57111   2.88
57161   8.02
57208   3.12
57296   4.26
57331   4.74
57346   3.29
57434   4.39
57463   3.05
57500   5.22
57503   3.82
57507   2.21
57513   3.05
57569   5.02
57635   1.89
57645   4.22
57661   6.28
57664   3.82
57714   6.48
57717   6.29
57761   1.72
57843   2.33
57877   4.30
57950   3.33
58000   3.81
58116   4.74
58160   3.97
58430   4.85
58487   2.67
58568   3.86
58571   7.48
58631   6.55
58647   6.15
58678   5.61
58700   5.21
58728   3.09
58779   2.05
58782   4.24
58785   3.69
58829   3.59
58961   2.00
58970   3.21
58980   8.00
58989   3.86
59039   2.83
59096   4.16
59143   1.70
59171   2.95
59231   5.16
59247   4.62
59350   3.85
59391   4.24
59410   6.10
59492   2.64
59520   5.44
59539   3.57
59586   4.00
59624   4.77
59680   6.82
59812   4.64
59856   3.01
59919   5.46
59969   2.27
60092   1.77
60104   4.18
60145   2.90
60189   3.59
60192   2.84
60217   2.72
60324   4.32
60349   1.48
60356   5.15
60378   2.09
60487   4.50
60494   5.25
60506   2.85
60607   3.64
60732   3.62
60739   5.74
60767   4.28
60770   2.93
60783   3.01
60833   5.06
60918   5.56
61006   2.33
61207   4.32
61210   3.64
61263   2.93
61298   3.38
61417   2.42
61427   1.74
61455   2.08
61471   3.59
61489   2.09
61502   5.61
61505   4.14
61524   3.08
61609   3.10
61612   3.35
61628   3.69
61643   5.08
61659   6.52
61712   3.85
61791   5.60
61807   3.68
61986   4.06
62020   7.12
62045   5.37
62061   1.44
62155   3.24
62196   2.36
62237   4.94
62287   3.57
62331   3.74
62344   2.55
62353   3.23
62410   1.77
62469   2.82
62473   2.41
62495   3.35
62532   4.45
62564   5.51
62617   3.10
62674   5.60
62749   9.18
62862   2.65
62941   2.42
62969   3.07
63000   8.02
63072   6.14
